"# Reference points along X2 pathway, 
#
# distance is distance from golden gate in kilometers
# x and y are in meters UTM zone 10 (EPSG 26910)
# path is whether the X2 path is traced on the 'sac' or 'sjr' or 'bay'.",,,,
point,path,distance,x,y
575,bay,11500,550668.5159,4193547.336
576,bay,11520,550656.6545,4193563.439
577,bay,11540,550644.7931,4193579.542
578,bay,11560,550632.9317,4193595.645
579,bay,11580,550621.0704,4193611.748
580,bay,11600,550609.209,4193627.851
581,bay,11620,550597.3476,4193643.954
582,bay,11640,550585.4862,4193660.057
583,bay,11660,550573.6868,4193676.206
584,bay,11680,550561.8894,4193692.356
585,bay,11700,550550.0919,4193708.506
586,bay,11720,550538.297,4193724.658
587,bay,11740,550526.5676,4193740.857
588,bay,11760,550514.8381,4193757.056
589,bay,11780,550503.1087,4193773.256
590,bay,11800,550491.4246,4193789.488
591,bay,11820,550479.7857,4193805.752
592,bay,11840,550468.1469,4193822.017
593,bay,11860,550456.508,4193838.282
594,bay,11880,550444.9334,4193854.592
595,bay,11900,550433.4098,4193870.938
596,bay,11920,550421.8861,4193887.285
597,bay,11940,550410.3625,4193903.631
598,bay,11960,550398.9519,4193920.057
599,bay,11980,550387.5586,4193936.494
600,bay,12000,550376.1653,4193952.932
601,bay,12020,550364.8243,4193969.405
602,bay,12040,550353.5753,4193985.942
603,bay,12060,550342.3262,4194002.478
604,bay,12080,550331.0776,4194019.015
605,bay,12100,550319.9017,4194035.601
606,bay,12120,550308.7258,4194052.187
607,bay,12140,550297.5498,4194068.773
608,bay,12160,550286.3739,4194085.36
609,bay,12180,550275.198,4194101.946
610,bay,12200,550264.0221,4194118.532
611,bay,12220,550252.8462,4194135.118
612,bay,12240,550241.6702,4194151.704
613,bay,12260,550230.4943,4194168.29
614,bay,12280,550219.3184,4194184.876
615,bay,12300,550208.1425,4194201.462
616,bay,12320,550196.9665,4194218.048
617,bay,12340,550185.7906,4194234.634
618,bay,12360,550174.65,4194251.244
619,bay,12380,550163.518,4194267.86
620,bay,12400,550152.386,4194284.476
621,bay,12420,550141.254,4194301.091
622,bay,12440,550130.122,4194317.707
623,bay,12460,550118.9901,4194334.322
624,bay,12480,550107.8581,4194350.938
625,bay,12500,550096.7339,4194367.559
626,bay,12520,550085.6582,4194384.212
627,bay,12540,550074.5824,4194400.865
628,bay,12560,550063.5067,4194417.518
629,bay,12580,550052.452,4194434.185
630,bay,12600,550041.4242,4194450.87
631,bay,12620,550030.3964,4194467.555
632,bay,12640,550019.3685,4194484.24
633,bay,12660,550008.3924,4194500.959
634,bay,12680,549997.4183,4194517.68
635,bay,12700,549986.4442,4194534.4
636,bay,12720,549975.5085,4194551.145
637,bay,12740,549964.5933,4194567.904
638,bay,12760,549953.6782,4194584.663
639,bay,12780,549942.7945,4194601.442
640,bay,12800,549931.9454,4194618.244
641,bay,12820,549921.0964,4194635.046
642,bay,12840,549910.2626,4194651.857
643,bay,12860,549899.4869,4194668.706
644,bay,12880,549888.7112,4194685.555
645,bay,12900,549877.9393,4194702.406
646,bay,12920,549867.2419,4194719.305
647,bay,12940,549856.5445,4194736.204
648,bay,12960,549845.8471,4194753.102
649,bay,12980,549835.231,4194770.052
650,bay,13000,549824.6166,4194787.003
651,bay,13020,549814.0022,4194803.954
652,bay,13040,549803.4745,4194820.959
653,bay,13060,549792.9477,4194837.965
654,bay,13080,549782.427,4194854.974
655,bay,13100,549771.9923,4194872.036
656,bay,13120,549761.5575,4194889.098
657,bay,13140,549751.1427,4194906.172
658,bay,13160,549740.8042,4194923.293
659,bay,13180,549730.4657,4194940.414
660,bay,13200,549720.1678,4194957.558
661,bay,13220,549709.9297,4194974.739
662,bay,13240,549699.6916,4194991.92
663,bay,13260,549689.5646,4195009.166
664,bay,13280,549679.4966,4195026.448
665,bay,13300,549669.4286,4195043.729
666,bay,13320,549659.5626,4195061.126
667,bay,13340,549649.7184,4195078.535
668,bay,13360,549639.88,4195095.948
669,bay,13380,549630.24,4195113.471
670,bay,13400,549620.6001,4195130.995
671,bay,13420,549610.9601,4195148.518
672,bay,13440,549601.5019,4195166.14
673,bay,13460,549592.0439,4195183.763
674,bay,13480,549582.586,4195201.385
675,bay,13500,549573.2352,4195219.064
676,bay,13520,549563.9193,4195236.762
677,bay,13540,549554.6034,4195254.46
