"# Reference points along X2 pathway, 
#
# distance is distance from golden gate in kilometers
# x and y are in meters UTM zone 10 (EPSG 26910)
# path is whether the X2 path is traced on the 'sac' or 'sjr' or 'bay'.",,,,
point,path,distance,x,y
440,bay,8800,551992.7441,4191204.0232
441,bay,8820,551985.8698,4191222.8044
442,bay,8840,551978.8470,4191241.5308
443,bay,8860,551971.6895,4191260.2059
444,bay,8880,551964.4649,4191278.8555
445,bay,8900,551957.0505,4191297.4303
446,bay,8920,551949.5854,4191315.9847
447,bay,8940,551941.9900,4191334.4863
448,bay,8960,551934.3087,4191352.9522
449,bay,8980,551926.5447,4191371.3838
450,bay,9000,551918.6732,4191389.7694
451,bay,9020,551910.7522,4191408.1340
452,bay,9040,551902.7157,4191426.4482
453,bay,9060,551894.6498,4191444.7496
454,bay,9080,551886.4442,4191462.9887
455,bay,9100,551878.2099,4191481.2149
456,bay,9120,551869.9756,4191499.4412
457,bay,9140,551861.6515,4191517.6263
458,bay,9160,551853.2427,4191535.7728
459,bay,9180,551844.8340,4191553.9192
460,bay,9200,551836.4252,4191572.0656
461,bay,9220,551827.9133,4191590.1638
462,bay,9240,551819.3806,4191608.2523
463,bay,9260,551810.8478,4191626.3407
464,bay,9280,551802.3045,4191644.4242
465,bay,9300,551793.7136,4191662.4851
466,bay,9320,551785.1227,4191680.5460
467,bay,9340,551776.5318,4191698.6069
468,bay,9360,551767.9409,4191716.6678
469,bay,9380,551759.3500,4191734.7287
470,bay,9400,551750.7591,4191752.7896
471,bay,9420,551742.1682,4191770.8505
472,bay,9440,551733.5773,4191788.9114
473,bay,9460,551724.9864,4191806.9723
474,bay,9480,551716.4718,4191825.0693
475,bay,9500,551707.9711,4191843.1728
476,bay,9520,551699.4852,4191861.2833
477,bay,9540,551691.0821,4191879.4324
478,bay,9560,551682.6791,4191897.5815
479,bay,9580,551674.2444,4191915.7158
480,bay,9600,551665.7985,4191933.8450
481,bay,9620,551657.3527,4191951.9742
482,bay,9640,551648.7263,4191970.0181
483,bay,9660,551640.0869,4191988.0559
484,bay,9680,551631.4331,4192006.0866
485,bay,9700,551622.6076,4192024.0341
486,bay,9720,551613.7820,4192041.9815
487,bay,9740,551604.9257,4192059.9136
488,bay,9760,551595.9214,4192077.7720
489,bay,9780,551586.9171,4192095.6304
490,bay,9800,551577.8764,4192113.4702
491,bay,9820,551568.7010,4192131.2413
492,bay,9840,551559.5256,4192149.0124
493,bay,9860,551550.3182,4192166.7668
494,bay,9880,551540.9793,4192184.4525
495,bay,9900,551531.6404,4192202.1383
496,bay,9920,551522.2840,4192219.8146
497,bay,9940,551512.7895,4192237.4173
498,bay,9960,551503.2950,4192255.0200
499,bay,9980,551493.8005,4192272.6227
500,bay,10000,551484.1644,4192290.1482
501,bay,10020,551474.5223,4192307.6705
502,bay,10040,551464.8802,4192325.1927
503,bay,10060,551455.1376,4192342.6592
504,bay,10080,551445.3571,4192360.1046
505,bay,10100,551435.5766,4192377.5500
506,bay,10120,551425.7378,4192394.9624
507,bay,10140,551415.8281,4192412.3348
508,bay,10160,551405.9185,4192429.7072
509,bay,10180,551395.9995,4192447.0741
510,bay,10200,551385.9693,4192464.3772
511,bay,10220,551375.9391,4192481.6802
512,bay,10240,551365.9090,4192498.9833
513,bay,10260,551355.8131,4192516.2480
514,bay,10280,551345.6713,4192533.4858
515,bay,10300,551335.5295,4192550.7237
516,bay,10320,551325.3877,4192567.9615
517,bay,10340,551315.1483,4192585.1416
